timestamp,mx_uT,my_uT,mz_uT,d0_mm,d1_mm,d2_mm,d3_mm,d4_mm,d5_mm,d6_mm,d7_mm,d8_mm,d9_mm,d10_mm,d11_mm,d12_mm,d13_mm,d14_mm,d15_mm,d16_mm,d17_mm,d18_mm,d19_mm,d20_mm,d21_mm,d22_mm,d23_mm,d24_mm,d25_mm,d26_mm,d27_mm,d28_mm,d29_mm,d30_mm,d31_mm,d32_mm,d33_mm,d34_mm,d35_mm,d36_mm,d37_mm,d38_mm,d39_mm,d40_mm,d41_mm,d42_mm,d43_mm,d44_mm,d45_mm,d46_mm,d47_mm,d48_mm,d49_mm,d50_mm,d51_mm,d52_mm,d53_mm,d54_mm,d55_mm,d56_mm,d57_mm,d58_mm,d59_mm,d60_mm,d61_mm,d62_mm,d63_mm
2025-10-13T12:29:40,0.5814,0.8988,0.4138,776,788,989,1000,1028,988,967,955,992,1036,1029,1043,1028,1035,1008,998,1047,1055,1064,1392,1407,1051,1058,1032,1064,1410,1407,1423,1405,1413,1383,1031,1071,1038,1810,2388,2358,2353,1386,1343,1008,1046,1798,3264,3753,2859,1354,1342,953,992,1071,3178,395,1010,824,805,650,654,1000,1022,945,957,853,896
2025-10-13T12:29:41,-0.9186,0.1488,0.5638,776,788,989,1000,1028,988,967,955,992,1036,1029,1043,1028,1035,1008,998,1047,1055,1064,1392,1407,1051,1058,1032,1064,1410,1407,1423,1405,1413,1383,1031,1071,1038,1810,2388,2358,2353,1386,1343,1008,1046,1798,3264,3753,2859,1354,1342,953,992,1071,3178,395,1010,824,805,650,654,1000,1022,945,957,853,896
2025-10-13T12:29:42,0.2814,-0.1512,0.2638,776,788,989,1000,1028,988,967,955,992,1036,1029,1043,1028,1035,1008,998,1047,1055,1064,1392,1407,1051,1058,1032,1064,1410,1407,1423,1405,1413,1383,1031,1071,1038,1810,2388,2358,2353,1386,1343,1008,1046,1798,3264,3753,2859,1354,1342,953,992,1071,3178,395,1010,824,805,650,654,1000,1022,945,957,853,896
2025-10-13T12:29:44,0.2814,0.5988,-0.4862,776,788,989,1000,1028,988,967,955,992,1036,1029,1043,1028,1035,1008,998,1047,1055,1064,1392,1407,1051,1058,1032,1064,1410,1407,1423,1405,1413,1383,1031,1071,1038,1810,2388,2358,2353,1386,1343,1008,1046,1798,3264,3753,2859,1354,1342,953,992,1071,3178,395,1010,824,805,650,654,1000,1022,945,957,853,896
2025-10-13T12:29:45,-0.4686,0.1488,0.4138,776,788,989,1000,1028,988,967,955,992,1036,1029,1043,1028,1035,1008,998,1047,1055,1064,1392,1407,1051,1058,1032,1064,1410,1407,1423,1405,1413,1383,1031,1071,1038,1810,2388,2358,2353,1386,1343,1008,1046,1798,3264,3753,2859,1354,1342,953,992,1071,3178,395,1010,824,805,650,654,1000,1022,945,957,853,896
2025-10-13T12:29:46,-0.0186,0.4488,-0.7862,776,788,989,1000,1028,988,967,955,992,1036,1029,1043,1028,1035,1008,998,1047,1055,1064,1392,1407,1051,1058,1032,1064,1410,1407,1423,1405,1413,1383,1031,1071,1038,1810,2388,2358,2353,1386,1343,1008,1046,1798,3130,3161,2859,1354,1342,953,992,1071,3178,3066,1010,824,805,650,654,1000,1022,945,957,853,896
2025-10-13T12:29:47,-0.9186,-1.0512,-2.7362,776,788,989,1000,1028,988,967,955,992,1036,1029,1043,1028,1035,1008,998,1047,1055,1064,1781,1407,1051,1058,1032,1064,1410,1407,1756,1405,1413,1383,1031,1071,1038,1726,1748,1731,1729,1729,1343,1008,1046,1736,1698,1734,1686,1697,1342,953,992,1071,3178,3066,1010,824,805,650,654,1000,1022,945,957,853,896
2025-10-13T12:29:49,-1.2186,-7.2012,-7.3862,409,404,401,396,383,394,393,393,401,399,398,393,385,386,386,380,393,395,388,392,383,383,377,379,373,376,372,375,369,367,361,354,411,416,405,411,409,407,389,397,501,497,472,503,486,482,490,517,403,435,431,418,470,461,733,760,500,475,472,758,443,477,761,709
2025-10-13T12:29:50,-1.2186,-5.7012,-6.1862,418,405,403,394,382,399,398,398,406,398,398,398,393,389,392,385,395,393,383,384,382,376,376,374,375,379,375,380,373,367,365,365,433,416,421,422,414,418,409,412,518,486,492,491,491,483,503,499,408,445,435,457,477,433,733,760,511,503,467,406,490,433,387,709
2025-10-13T12:29:51,-0.6186,-5.8512,-7.0862,416,405,405,394,387,397,395,398,400,397,400,401,388,394,388,387,388,395,387,389,378,381,378,374,380,379,375,374,371,367,368,361,420,425,407,422,417,411,407,409,505,475,494,478,500,469,474,537,408,427,444,438,444,431,733,760,563,715,485,434,502,410,387,709
