timestamp,mx_uT,my_uT,mz_uT,d0_mm,d1_mm,d2_mm,d3_mm,d4_mm,d5_mm,d6_mm,d7_mm,d8_mm,d9_mm,d10_mm,d11_mm,d12_mm,d13_mm,d14_mm,d15_mm,d16_mm,d17_mm,d18_mm,d19_mm,d20_mm,d21_mm,d22_mm,d23_mm,d24_mm,d25_mm,d26_mm,d27_mm,d28_mm,d29_mm,d30_mm,d31_mm,d32_mm,d33_mm,d34_mm,d35_mm,d36_mm,d37_mm,d38_mm,d39_mm,d40_mm,d41_mm,d42_mm,d43_mm,d44_mm,d45_mm,d46_mm,d47_mm,d48_mm,d49_mm,d50_mm,d51_mm,d52_mm,d53_mm,d54_mm,d55_mm,d56_mm,d57_mm,d58_mm,d59_mm,d60_mm,d61_mm,d62_mm,d63_mm
2025-10-13T12:33:15,-0.3432,-0.0114,-0.5512,835,866,872,846,862,552,861,830,869,895,898,904,891,898,881,875,908,903,1332,1321,1214,1323,900,871,891,1308,1319,1338,1314,1330,1299,1277,888,1341,1325,2010,2006,1985,1305,1295,875,1314,1951,3346,3843,2717,1283,864,849,859,890,1232,3265,895,847,479,609,629,744,864,1242,877,828,808
2025-10-13T12:33:16,-0.0432,1.1886,-0.2512,835,866,872,846,862,552,861,830,869,895,898,904,891,898,881,875,908,903,1332,1321,1214,1323,900,871,891,1308,1319,1338,1314,1330,1299,1277,888,1341,1325,2010,2006,1985,1305,1295,875,1314,1951,3346,3843,2717,1283,864,849,859,890,1232,3265,895,847,479,609,629,744,864,1242,877,828,808
2025-10-13T12:33:18,-0.1932,0.1386,0.0488,835,866,872,846,862,552,861,830,869,895,898,904,891,898,881,875,908,903,1332,1321,1214,1323,900,871,891,1308,1319,1338,1314,1330,1299,1277,888,1341,1325,2010,2006,1985,1305,1295,875,1314,1951,3346,3843,2717,1283,864,849,859,890,1232,3265,895,847,479,609,629,744,864,1242,877,828,808
2025-10-13T12:33:19,-0.0432,-0.6114,-0.2512,835,866,872,846,862,552,861,830,869,895,898,904,891,898,881,875,908,903,1332,1321,1214,1323,900,871,891,1308,1319,1338,1314,1330,1299,1277,888,1341,1325,2010,2006,1985,1305,1295,875,1314,1951,3346,3843,2717,1283,864,849,859,890,1232,3265,895,847,479,609,629,744,864,1242,877,828,808
2025-10-13T12:33:20,0.1068,-0.3114,-1.0012,835,866,872,846,862,552,861,830,869,895,898,904,891,898,881,875,908,903,1332,1321,1214,1323,900,871,891,1308,1319,1338,1314,1330,1299,1277,888,1341,1325,2010,2006,1985,1305,1295,875,1314,1951,3346,3843,2717,1283,864,849,859,890,1232,3265,895,847,479,609,629,744,864,1242,877,828,808
2025-10-13T12:33:21,-0.9432,-0.3114,-0.7012,835,866,872,846,862,552,861,830,869,895,898,904,891,898,881,875,908,903,1332,1321,1214,1323,900,871,891,1308,1319,1338,1314,1330,1299,1277,888,1341,1325,2010,2006,1985,1305,1295,875,1314,1951,3346,3843,2717,1283,864,849,859,890,1232,3265,895,847,479,609,629,744,864,1242,877,828,808
2025-10-13T12:33:22,-0.7932,0.2886,-0.4012,835,866,872,846,862,552,861,830,869,895,898,904,891,898,881,875,908,903,1332,1321,1214,1323,900,871,891,1308,1319,1338,1314,1330,1299,1277,888,1341,1325,2010,2006,1985,1305,1295,875,1314,1951,3346,3843,2717,1283,864,849,859,890,1232,3265,895,847,479,609,629,744,864,1242,877,828,808
2025-10-13T12:33:24,-1.0932,0.2886,0.6488,835,866,872,846,862,552,861,830,869,895,898,904,891,898,881,875,908,903,1332,1321,1214,1323,900,871,891,1308,1319,1338,1314,1330,1299,1277,888,1341,1325,2010,2006,1985,1305,1295,875,1314,1951,3346,3843,2717,1283,864,849,859,890,1232,3265,895,847,479,609,629,744,864,1242,877,828,808
2025-10-13T12:33:25,-0.6432,0.5886,-1.7512,835,866,872,846,862,552,861,830,869,895,898,904,891,898,881,875,908,903,1332,1321,1214,1323,900,871,891,1308,1168,1338,1314,1330,1299,1277,888,1341,1325,2010,2006,1985,1305,1295,875,1314,1951,2931,2982,2900,1283,864,849,859,890,1232,2898,895,847,479,667,629,744,864,1242,877,828,808
2025-10-13T12:33:26,-0.4932,-0.7614,-2.5012,835,866,872,846,862,552,861,830,869,895,898,904,891,898,881,875,908,903,1332,1321,1214,1323,900,871,891,1308,1168,1638,1689,1618,1299,1277,888,1641,1610,1643,1625,1633,1597,1295,875,1561,1636,1587,1628,1580,1582,864,849,1612,890,1232,2898,895,847,479,507,646,744,864,1242,877,828,808
2025-10-13T12:33:27,-1.2432,-5.7114,-5.6512,604,639,637,637,626,631,629,635,620,625,642,616,634,609,633,620,616,634,631,634,626,625,617,623,632,626,649,632,648,628,637,611,612,626,630,637,627,624,610,605,626,624,652,626,647,630,639,603,612,625,637,643,628,633,637,479,573,597,635,598,647,628,613,572
2025-10-13T12:33:29,-1.3932,-5.2614,-6.5512,505,511,500,498,497,493,495,500,511,511,515,518,508,512,501,497,515,512,515,520,514,509,502,500,497,505,511,510,506,504,501,489,497,506,506,511,509,494,485,476,542,544,546,555,547,549,546,537,499,497,526,531,546,531,505,479,500,517,519,505,515,536,481,506
2025-10-13T12:33:30,-1.2432,-4.6614,-5.5012,507,509,502,499,499,493,497,503,507,516,520,517,515,512,505,500,515,514,519,519,515,511,504,496,496,506,508,513,512,498,500,487,497,510,504,508,500,494,491,484,537,546,555,546,557,559,550,530,503,522,526,534,531,522,520,479,495,534,497,507,527,507,510,519
2025-10-13T12:33:31,-0.9432,-4.8114,-6.7012,506,505,501,499,497,492,495,501,512,512,515,516,510,508,503,499,509,515,520,520,516,508,500,492,502,500,505,507,502,498,499,485,497,498,502,512,498,496,491,480,538,542,548,565,548,547,531,540,498,517,518,533,535,530,496,479,503,530,531,508,537,521,526,476
2025-10-13T12:33:32,-1.2432,-6.0114,-6.2512,508,506,501,499,496,490,495,502,509,514,512,525,511,508,499,497,508,508,520,516,514,508,496,492,502,500,509,514,504,505,498,483,497,502,507,503,499,493,483,473,533,552,539,553,554,548,545,531,502,519,526,536,533,502,511,479,497,536,502,513,523,532,500,472
2025-10-13T12:33:34,-0.9432,-4.9614,-5.6512,507,506,500,497,497,493,495,502,513,511,511,519,511,505,502,496,509,514,519,518,512,507,502,494,495,509,507,518,509,494,493,485,496,504,506,512,500,497,491,483,539,555,559,547,550,546,542,533,498,507,516,525,545,516,513,479,519,522,523,498,526,499,506,482
2025-10-13T12:33:35,-1.0932,-5.5614,-4.9012,509,509,503,500,500,496,497,502,507,511,520,523,517,508,502,501,508,511,518,517,515,511,504,497,497,509,509,516,505,498,496,485,499,512,502,510,501,494,491,482,534,543,552,558,558,559,546,545,509,498,536,535,539,532,534,479,512,525,512,498,506,498,509,504
2025-10-13T12:33:36,-1.0932,-5.5614,-5.6512,506,507,501,497,499,492,496,502,509,509,517,520,514,511,499,496,510,515,521,521,516,508,497,495,501,503,509,514,505,505,497,486,497,503,497,510,503,498,482,474,542,551,549,564,554,547,544,517,499,521,520,534,511,528,510,479,510,518,537,523,520,500,507,471
2025-10-13T12:33:37,-1.5432,-6.4614,-6.7012,505,506,499,497,500,490,494,502,506,1205,516,518,508,507,502,499,510,512,520,520,514,509,507,491,498,512,506,513,503,501,496,485,502,504,497,506,497,496,486,475,530,545,543,570,548,559,537,563,491,515,528,526,519,526,519,479,505,508,524,496,495,525,493,464
2025-10-13T12:33:38,-0.9432,-5.1114,-5.9512,506,508,499,496,497,492,495,502,505,510,514,519,514,509,504,498,507,514,518,515,513,507,501,490,500,503,506,507,506,498,487,485,501,507,504,503,507,495,488,479,544,550,548,551,550,541,531,539,493,510,534,527,521,535,495,479,497,527,532,498,526,509,512,459
2025-10-13T12:33:40,-1.5432,-5.8614,-5.9512,509,508,502,499,498,494,496,503,512,515,516,522,514,512,502,498,512,513,518,524,517,509,500,499,499,504,514,515,508,505,495,480,503,505,503,505,499,498,490,479,535,548,547,557,558,552,540,555,494,511,530,540,523,537,512,479,527,526,513,510,509,539,525,493
2025-10-13T12:33:41,-0.4932,-5.5614,-5.3512,504,507,501,500,496,492,495,500,506,510,517,517,514,513,503,498,508,512,517,523,511,508,502,490,496,504,508,508,510,497,496,487,494,505,504,510,500,494,488,475,533,544,553,546,559,550,545,551,510,516,524,515,539,519,512,479,511,525,529,533,500,517,521,485
2025-10-13T12:33:42,-0.4932,-5.4114,-5.2012,506,506,499,497,497,493,495,502,508,510,512,513,511,508,501,500,512,512,517,518,512,512,498,494,497,507,510,520,514,499,494,486,496,506,509,506,495,489,493,479,528,545,535,547,560,550,535,547,497,526,534,524,535,503,503,479,518,910,517,524,506,533,481,509
2025-10-13T12:33:43,-2.2932,-5.4114,-5.5012,507,507,500,497,497,491,494,503,511,511,514,519,517,516,502,497,508,511,519,522,514,508,500,497,497,504,512,516,504,508,495,486,497,501,499,505,497,502,481,481,523,542,553,542,558,548,545,536,499,511,528,531,546,507,515,479,523,528,519,498,528,536,514,489
2025-10-13T12:33:45,-0.4932,-4.9614,-5.3512,507,508,501,501,499,494,497,504,511,512,522,523,513,507,505,500,513,516,517,520,515,507,502,490,503,507,505,520,508,505,494,484,500,513,509,514,498,500,490,480,542,543,557,556,554,557,544,544,492,508,508,534,557,513,520,479,515,516,517,536,527,507,716,487
2025-10-13T12:33:46,-1.0932,-6.9114,-5.5012,507,506,501,497,496,490,495,501,508,512,514,516,514,511,501,500,503,516,512,520,510,508,495,496,496,508,512,509,509,498,492,486,501,510,507,512,497,502,486,476,528,545,556,557,553,540,546,538,489,506,524,530,540,525,519,479,506,519,525,507,521,516,494,475
2025-10-13T12:33:47,-0.7932,-4.8114,-6.4012,504,507,499,499,497,492,494,503,512,512,513,515,518,508,501,500,510,515,515,521,517,511,503,490,494,505,512,516,506,510,502,483,498,508,506,509,494,493,490,477,533,1151,561,547,540,549,538,515,483,515,537,515,529,545,559,479,479,515,509,529,508,547,492,477
2025-10-13T12:33:48,-1.2432,-5.7114,-5.9512,506,506,501,497,498,490,495,503,503,514,511,520,515,510,501,496,512,516,519,517,516,507,501,493,497,507,511,515,506,496,495,484,498,506,505,509,494,499,482,476,552,552,551,557,547,546,532,537,512,520,526,528,531,509,512,479,501,506,525,503,520,508,500,489
2025-10-13T12:33:50,-1.3932,-6.1614,-6.2512,465,464,457,455,455,451,449,451,456,465,463,462,451,458,449,440,462,471,467,472,463,464,457,445,441,443,442,447,444,439,433,422,463,469,453,457,458,455,444,442,498,507,523,518,525,510,508,514,472,480,495,507,503,497,483,479,488,497,476,467,481,479,475,423
2025-10-13T12:33:51,-1.5432,-5.8614,-6.2512,462,462,455,452,454,447,449,450,456,463,460,458,452,450,444,438,464,458,468,470,465,460,451,445,438,447,438,446,438,430,430,423,459,470,455,457,458,452,448,440,506,523,514,525,517,509,534,489,456,478,476,477,501,512,517,479,479,496,503,485,488,469,479,465
2025-10-13T12:33:52,-0.7932,-5.2614,-6.4012,463,462,456,452,451,448,447,450,454,458,456,455,455,450,446,440,461,466,465,472,467,2908,456,449,438,443,441,449,443,439,429,418,469,459,455,460,458,451,439,434,505,518,509,525,517,512,517,525,465,466,490,502,468,458,498,479,490,500,494,481,479,458,485,444
2025-10-13T12:33:53,-1.2432,-5.5614,-6.4012,464,463,456,452,451,448,449,450,460,458,461,457,450,450,443,440,461,464,466,467,466,462,452,446,437,443,442,443,443,434,425,419,460,469,461,455,455,447,440,430,491,508,512,521,521,511,518,520,444,463,477,488,495,489,525,479,503,493,479,481,484,516,446,444
2025-10-13T12:33:54,-0.1932,-5.5614,-5.8012,465,462,456,453,452,447,449,449,456,458,458,460,448,455,443,438,461,466,464,471,465,463,454,443,437,443,442,443,437,436,431,418,456,466,461,460,456,452,456,439,494,506,515,509,509,521,521,523,459,485,475,489,475,482,444,479,500,477,479,966,474,516,512,444
2025-10-13T12:33:56,-1.5432,-6.4614,-5.9512,464,463,457,453,455,449,451,452,460,465,466,462,455,455,447,436,457,3232,467,471,469,452,450,446,440,445,446,445,441,437,429,419,463,474,456,459,458,458,450,441,518,520,510,512,523,526,506,486,460,464,480,480,503,479,458,479,489,500,497,487,475,467,482,452
2025-10-13T12:33:57,-1.0932,-6.0114,-6.8512,467,463,457,454,455,450,450,451,453,454,460,462,453,455,447,449,465,469,470,469,467,459,449,452,442,444,443,448,443,441,427,423,459,458,459,456,457,446,446,433,519,509,516,517,512,515,532,516,448,469,495,492,473,496,458,479,504,509,505,466,488,488,452,466
2025-10-13T12:33:58,-0.6432,-6.6114,-6.4012,464,464,458,455,454,452,450,452,462,464,464,459,454,456,451,443,469,466,467,476,472,466,456,454,435,442,448,447,440,434,431,428,461,462,457,463,453,455,442,444,500,511,517,511,508,522,519,498,446,470,487,497,508,504,481,479,501,499,467,474,497,472,484,447
2025-10-13T12:33:59,-1.3932,-6.0114,-6.5512,466,465,458,456,455,450,452,452,463,462,460,461,459,452,448,446,461,466,469,474,470,464,456,454,444,443,447,451,442,433,433,423,465,469,463,460,463,457,452,444,498,493,514,518,528,509,499,518,469,467,485,485,511,502,481,479,503,500,490,482,489,468,453,485
2025-10-13T12:34:01,-0.9432,-5.7114,-6.1012,464,463,457,455,452,450,449,452,459,462,461,459,454,456,449,447,464,470,466,474,466,465,455,450,440,445,442,451,447,435,431,419,466,465,457,462,457,447,447,434,516,511,506,511,513,503,513,479,481,476,477,483,497,473,519,479,489,514,471,496,490,485,475,485
2025-10-13T12:34:02,-0.9432,-6.7614,-6.4012,464,463,457,454,452,451,451,451,459,465,467,462,455,455,446,443,466,464,474,470,468,461,455,447,439,452,443,452,442,437,423,421,461,464,456,463,458,446,450,439,489,507,503,523,523,519,502,508,424,476,483,480,474,463,460,479,489,488,461,482,488,475,468,467
2025-10-13T12:34:03,-1.2432,-6.6114,-5.2012,464,463,457,455,453,453,451,451,457,462,460,461,454,450,447,444,469,461,467,475,465,460,449,448,441,450,447,450,441,436,432,423,457,464,463,462,462,451,446,432,517,517,508,521,515,502,504,503,463,484,498,500,454,494,513,479,462,486,499,495,495,489,471,453
2025-10-13T12:34:04,-1.0932,-6.0114,-5.8012,466,465,459,457,455,451,451,454,456,470,462,458,453,453,455,442,468,468,473,470,466,468,456,456,438,444,446,451,448,441,433,423,458,457,451,469,459,454,448,444,519,521,507,532,509,530,523,498,464,465,481,480,490,499,445,479,500,487,532,494,475,464,485,474
2025-10-13T12:34:06,-0.9432,-6.7614,-6.4012,464,464,458,455,453,450,450,452,459,467,461,464,457,451,448,445,465,460,468,473,467,466,452,453,437,443,444,450,442,436,429,422,455,469,457,463,458,453,449,434,495,508,512,515,511,523,503,515,448,463,486,498,497,519,496,479,498,516,498,478,472,484,456,441
2025-10-13T12:34:07,-0.7932,-6.6114,-6.5512,465,463,457,456,454,451,451,452,460,462,463,462,453,452,450,443,461,465,467,475,469,465,453,448,443,447,443,448,441,442,430,426,461,460,461,467,450,453,443,441,489,491,510,516,506,522,513,508,456,469,482,487,492,480,450,479,499,494,477,467,529,507,456,494
2025-10-13T12:34:08,-1.8432,-5.8614,-7.7512,464,464,460,456,453,450,451,452,452,457,460,460,456,454,445,445,469,469,474,469,468,469,454,443,437,444,444,449,442,439,433,420,465,467,467,454,457,455,447,437,510,512,516,507,524,519,502,518,437,474,488,469,504,504,463,479,474,485,461,472,488,475,451,490
2025-10-13T12:34:09,-0.3432,-5.8614,-6.4012,464,465,459,455,454,450,450,452,456,461,461,460,455,459,448,440,463,466,471,472,464,462,454,453,441,441,447,441,445,434,431,425,460,466,463,467,464,454,443,437,508,508,519,517,523,517,512,513,457,480,499,483,521,472,476,479,459,487,524,476,502,495,477,490
2025-10-13T12:34:10,-1.5432,-4.9614,-6.1012,466,464,458,457,457,452,451,453,459,460,463,461,457,459,451,448,463,465,467,475,470,465,452,456,449,445,451,445,451,442,432,426,465,454,455,466,460,452,452,441,514,503,513,509,518,520,504,470,447,476,472,484,508,505,477,479,502,495,466,474,496,480,454,414
2025-10-13T12:34:12,-1.2432,-6.0114,-5.8012,464,463,458,455,455,451,449,451,3242,465,459,463,455,454,446,441,467,460,471,467,470,465,450,448,446,445,443,450,442,439,428,423,460,459,463,457,460,460,439,439,515,499,509,515,521,502,514,526,444,458,473,497,513,477,498,479,771,514,477,460,475,463,512,434
2025-10-13T12:34:13,-0.9432,-5.7114,-6.8512,464,463,458,455,455,451,449,450,462,459,462,457,452,455,449,447,464,463,468,468,467,460,458,449,440,447,440,450,443,435,431,422,460,465,454,468,452,453,444,435,513,524,522,505,519,515,520,524,458,485,483,493,507,468,486,479,521,497,496,482,494,486,518,435
2025-10-13T12:34:14,-1.5432,-6.3114,-7.0012,464,464,458,456,454,451,450,453,464,462,458,460,452,454,450,443,459,466,469,471,470,465,458,450,447,445,444,448,441,437,432,427,456,464,464,470,460,454,447,439,488,513,511,511,522,515,513,495,451,484,479,491,475,489,486,479,497,482,490,481,499,485,460,435
2025-10-13T12:34:15,-1.6932,-5.5614,-5.9512,468,464,458,456,455,453,453,452,468,462,462,466,455,458,453,446,463,468,469,475,471,467,455,449,443,449,446,448,446,440,433,424,458,470,468,461,460,457,448,442,531,519,518,519,517,521,532,522,461,480,497,491,500,503,451,479,469,490,475,483,471,467,441,441
2025-10-13T12:34:17,-1.2432,-5.8614,-6.1012,467,462,456,455,455,451,450,453,455,460,460,460,456,456,451,447,465,460,464,472,469,461,452,456,441,446,439,452,442,437,429,423,459,457,457,456,451,448,441,439,524,511,503,516,517,520,535,523,457,455,480,497,494,490,451,479,497,495,484,486,475,445,456,454
2025-10-13T12:34:18,-1.2432,-5.5614,-6.2512,465,463,457,455,455,451,451,452,458,459,461,462,456,461,448,445,460,465,471,465,469,463,450,443,437,446,445,452,443,439,430,424,459,469,465,465,451,448,450,438,515,514,518,513,515,520,512,513,447,489,492,486,480,495,517,479,504,503,466,485,493,482,449,454
