timestamp,mx_uT,my_uT,mz_uT,d0_mm,d1_mm,d2_mm,d3_mm,d4_mm,d5_mm,d6_mm,d7_mm,d8_mm,d9_mm,d10_mm,d11_mm,d12_mm,d13_mm,d14_mm,d15_mm,d16_mm,d17_mm,d18_mm,d19_mm,d20_mm,d21_mm,d22_mm,d23_mm,d24_mm,d25_mm,d26_mm,d27_mm,d28_mm,d29_mm,d30_mm,d31_mm,d32_mm,d33_mm,d34_mm,d35_mm,d36_mm,d37_mm,d38_mm,d39_mm,d40_mm,d41_mm,d42_mm,d43_mm,d44_mm,d45_mm,d46_mm,d47_mm,d48_mm,d49_mm,d50_mm,d51_mm,d52_mm,d53_mm,d54_mm,d55_mm,d56_mm,d57_mm,d58_mm,d59_mm,d60_mm,d61_mm,d62_mm,d63_mm
2025-10-13T12:39:22,-0.4366,-0.3324,1.1203,467,465,459,457,457,452,452,454,456,466,460,462,459,454,454,444,465,470,474,473,473,466,460,452,441,446,447,452,445,439,432,425,462,469,454,460,459,457,447,436,525,523,512,519,514,511,515,505,429,472,495,478,495,488,483,510,744,483,488,506,482,470,430,440
2025-10-13T12:39:23,-0.1366,-0.7824,0.3703,468,465,459,455,454,451,451,453,456,462,462,465,455,454,455,442,465,471,468,470,468,465,457,455,446,447,443,447,451,439,430,428,464,462,462,460,455,455,444,436,500,512,514,516,527,517,529,510,448,476,487,491,475,475,458,510,467,504,479,487,473,488,448,432
2025-10-13T12:39:25,-0.4366,-0.3324,-0.0797,468,465,461,458,455,453,455,453,459,464,467,458,461,455,453,446,466,471,474,473,471,462,453,447,441,453,445,448,447,441,431,423,467,463,465,461,458,457,451,436,490,530,496,514,511,517,510,530,475,484,496,473,479,501,467,510,502,512,516,458,504,500,443,463
2025-10-13T12:39:26,-0.1366,0.2676,0.5203,467,462,457,456,453,451,453,454,464,465,465,461,456,456,447,444,463,460,472,468,467,466,455,449,441,453,446,455,444,436,431,425,458,468,461,458,459,451,450,440,521,516,511,513,516,526,533,514,463,468,482,497,486,490,488,455,491,512,488,489,471,480,486,464
2025-10-13T12:39:27,0.1634,-0.3324,0.6703,466,465,459,456,455,452,452,452,458,464,463,2898,457,459,449,442,465,465,473,471,466,464,460,449,442,445,446,454,445,444,428,424,456,464,470,464,458,454,444,437,509,524,512,515,513,512,516,947,447,489,493,493,502,525,466,453,500,483,472,476,483,467,487,437
2025-10-13T12:39:28,-0.4366,1.4676,-1.1297,465,465,457,455,454,451,451,453,460,459,461,460,456,459,451,449,461,471,470,472,470,468,459,448,437,451,447,452,444,442,431,422,455,458,461,457,457,447,444,443,507,510,515,516,521,520,520,523,447,464,479,504,473,471,475,431,492,475,490,477,464,468,479,474
2025-10-13T12:39:30,-0.1366,-0.3324,-1.2797,469,466,458,458,455,454,451,455,465,466,459,467,453,458,455,449,461,471,468,469,470,469,458,445,441,446,452,457,443,441,434,431,460,462,465,461,453,453,454,443,519,511,506,514,530,510,523,517,419,480,478,501,486,473,487,431,494,476,514,485,474,494,462,472
2025-10-13T12:39:31,-1.0366,-0.9324,-0.0797,465,464,457,455,453,452,451,452,465,461,462,462,458,457,453,447,462,470,464,471,467,464,455,445,438,445,445,454,446,437,435,423,453,463,459,465,463,456,452,442,512,521,506,526,512,515,501,512,471,484,485,488,503,473,444,431,485,475,480,464,493,467,478,440
2025-10-13T12:39:32,-0.8866,-0.1824,-0.2297,463,464,457,455,454,451,450,454,462,464,465,464,457,455,449,441,460,469,470,470,470,459,456,451,440,450,1160,450,443,439,432,420,450,463,463,461,453,450,443,433,496,506,510,517,511,521,505,481,475,473,492,492,483,462,488,431,471,477,493,495,471,483,477,449
2025-10-13T12:39:33,-0.8866,0.1176,-0.0797,466,464,459,456,454,452,451,451,462,460,462,462,457,455,451,444,464,462,471,475,464,465,456,450,446,444,447,454,450,440,435,424,462,467,460,465,448,450,447,437,497,509,509,515,521,508,510,502,475,483,494,514,500,508,441,431,883,480,481,472,483,460,449,435
2025-10-13T12:39:35,-1.3366,-0.0324,0.5203,465,466,459,457,455,453,452,454,468,464,467,463,450,454,447,444,470,468,476,473,469,466,457,450,442,452,452,450,449,439,438,430,459,469,464,464,454,450,449,443,503,514,510,507,515,518,513,489,450,472,490,493,486,488,466,431,469,679,484,521,474,477,460,450
2025-10-13T12:39:36,-0.8866,-0.1824,-0.2297,467,464,458,455,454,451,451,452,458,464,459,459,452,458,446,448,467,466,463,477,470,465,453,447,438,445,449,442,448,437,431,421,462,468,470,459,451,453,452,438,487,509,511,521,537,518,486,491,473,476,483,481,516,531,466,431,478,513,884,480,482,493,458,486
2025-10-13T12:39:37,-0.8866,0.4176,-0.3797,464,464,459,456,454,451,450,454,460,464,460,459,460,452,449,446,467,463,466,474,464,463,452,449,442,445,445,447,447,440,435,423,455,463,461,462,456,449,447,439,499,513,521,513,522,518,516,509,466,479,487,500,508,506,466,431,486,496,506,508,505,495,476,436
2025-10-13T12:39:38,-0.5866,-0.0324,-0.0797,466,465,458,455,455,453,452,453,456,471,464,465,454,460,455,448,465,465,468,471,468,467,452,448,443,444,443,454,442,435,428,419,457,464,457,459,454,457,451,435,500,498,515,523,513,522,515,521,457,463,483,478,492,463,485,431,502,686,466,503,483,474,424,436
2025-10-13T12:39:40,-1.1866,-0.0324,-0.2297,466,467,459,458,456,452,451,453,461,467,464,464,457,458,458,442,463,472,477,473,470,467,455,451,442,445,444,445,445,442,435,424,457,467,456,464,454,455,448,436,528,510,523,516,513,517,514,510,456,484,500,497,507,496,487,431,456,494,478,475,488,499,528,476
