timestamp,mx_uT,my_uT,mz_uT,d0_mm,d1_mm,d2_mm,d3_mm,d4_mm,d5_mm,d6_mm,d7_mm,d8_mm,d9_mm,d10_mm,d11_mm,d12_mm,d13_mm,d14_mm,d15_mm,d16_mm,d17_mm,d18_mm,d19_mm,d20_mm,d21_mm,d22_mm,d23_mm,d24_mm,d25_mm,d26_mm,d27_mm,d28_mm,d29_mm,d30_mm,d31_mm,d32_mm,d33_mm,d34_mm,d35_mm,d36_mm,d37_mm,d38_mm,d39_mm,d40_mm,d41_mm,d42_mm,d43_mm,d44_mm,d45_mm,d46_mm,d47_mm,d48_mm,d49_mm,d50_mm,d51_mm,d52_mm,d53_mm,d54_mm,d55_mm,d56_mm,d57_mm,d58_mm,d59_mm,d60_mm,d61_mm,d62_mm,d63_mm
2025-10-13T12:36:20,-0.4032,0.0626,0.5608,467,466,461,457,458,456,452,454,458,461,465,470,458,456,452,446,478,466,471,472,472,464,452,451,443,451,443,451,448,441,436,433,461,467,466,464,462,457,454,440,520,509,516,510,521,516,505,494,454,476,483,483,500,507,464,510,498,478,473,503,486,493,452,496
2025-10-13T12:36:21,0.3468,0.3626,0.1108,467,465,459,457,454,452,451,453,456,459,467,460,456,456,452,447,460,469,469,470,469,460,458,451,448,451,446,448,443,444,433,429,464,466,466,460,464,447,444,438,499,505,519,527,521,520,512,509,451,491,486,480,491,502,449,510,506,492,490,486,504,485,504,496
2025-10-13T12:36:22,0.1968,0.0626,0.4108,468,466,460,458,456,454,452,454,461,462,465,461,458,457,449,443,470,467,475,471,468,465,461,449,438,449,446,451,448,441,434,424,460,471,455,463,459,451,445,440,519,511,507,512,519,522,523,524,459,486,480,489,507,505,469,510,483,496,470,483,470,471,475,496
2025-10-13T12:36:24,0.3468,-0.5374,-0.6392,464,464,459,456,453,452,451,453,454,463,463,458,451,457,448,446,459,467,473,473,471,464,454,447,440,454,444,450,444,436,437,428,465,466,458,461,455,444,449,440,497,490,521,513,520,516,522,501,465,476,491,495,512,511,457,510,499,513,501,467,482,477,434,496
2025-10-13T12:36:25,-1.0032,0.2126,-0.3392,466,465,459,456,453,452,451,453,464,463,465,462,452,453,451,445,469,469,472,473,469,454,459,453,438,446,445,454,441,439,432,423,459,462,457,462,452,448,446,441,520,501,508,525,516,517,504,505,487,477,504,507,506,494,491,510,482,482,466,963,465,473,508,455
2025-10-13T12:36:26,0.7968,-0.2374,0.5608,466,464,459,455,452,452,454,451,462,464,462,458,456,453,447,446,465,463,476,473,470,465,455,446,443,444,442,448,444,438,432,424,458,460,460,465,451,452,452,431,506,509,519,522,514,522,507,493,451,477,481,476,487,499,478,510,466,495,881,470,489,457,463,473
2025-10-13T12:36:27,0.0468,-0.5374,-0.4892,467,465,461,458,457,454,453,454,458,459,466,461,453,458,453,445,473,469,470,473,463,468,456,449,444,446,444,455,442,438,436,430,465,470,457,455,460,447,442,440,525,501,522,512,523,507,526,519,470,466,490,486,515,473,492,510,497,500,484,565,480,474,458,482
2025-10-13T12:36:29,-0.8532,-0.5374,-0.4892,465,463,458,455,455,452,452,452,457,461,466,461,455,461,449,446,469,465,466,472,470,464,454,446,441,449,443,448,442,437,433,419,459,463,459,466,463,450,443,444,500,510,514,510,517,526,508,515,455,468,484,501,500,519,449,510,495,498,474,502,511,471,444,515
2025-10-13T12:36:30,-0.7032,0.2126,-0.9392,467,464,458,455,453,450,449,452,461,463,462,462,452,456,451,448,467,462,470,473,469,464,454,453,441,445,449,451,442,434,432,427,462,466,456,469,454,456,451,438,516,506,514,520,511,518,503,519,451,478,497,495,493,509,484,510,479,882,494,493,525,456,458,463
2025-10-13T12:36:31,-0.7032,-0.3874,-0.4892,467,462,459,455,455,452,451,452,460,465,457,463,449,455,452,448,461,468,472,474,471,466,456,447,440,448,443,447,444,436,434,430,461,467,457,459,458,453,448,443,512,497,515,514,505,503,501,523,473,477,494,494,480,499,484,510,482,491,477,488,474,475,447,485
2025-10-13T12:36:32,-0.5532,0.3626,-0.4892,466,466,459,457,455,453,452,453,461,469,462,466,460,455,451,449,469,471,468,471,467,463,454,448,445,446,449,449,447,439,433,422,462,465,459,469,454,452,448,448,523,529,518,516,513,513,504,519,458,473,488,476,511,481,505,510,491,489,490,493,477,474,544,439
2025-10-13T12:36:33,-0.7032,0.3626,-0.6392,466,463,456,456,455,452,451,452,454,462,463,464,456,460,451,448,468,467,469,471,469,461,453,447,439,445,448,445,449,442,433,422,462,462,460,458,455,445,446,440,520,511,511,499,513,519,511,515,450,478,477,486,484,488,437,510,457,528,467,495,464,481,544,439
2025-10-13T12:36:35,-0.2532,0.3626,-0.7892,465,462,458,455,456,452,451,451,456,462,462,462,457,449,450,448,460,463,472,474,471,462,453,452,440,453,444,448,443,442,428,425,465,460,455,457,449,452,444,439,491,512,526,521,520,521,507,531,451,478,485,497,497,486,444,510,488,484,490,480,505,475,489,465
2025-10-13T12:36:36,-1.1532,-0.5374,0.7108,466,464,459,456,455,451,452,453,466,463,465,463,456,452,448,439,464,469,469,476,466,464,456,454,441,444,442,446,443,436,429,423,460,459,467,455,462,457,443,439,510,509,506,521,510,519,512,532,447,467,476,489,484,470,479,510,500,521,748,953,907,471,502,473
2025-10-13T12:36:37,-0.4032,-0.2374,-1.0892,469,466,460,456,455,455,453,452,465,465,469,464,453,453,450,448,459,470,473,478,474,465,456,450,443,444,449,445,445,440,431,426,467,461,466,457,461,454,445,444,500,516,521,524,517,517,530,513,461,457,497,475,487,491,479,510,499,503,496,486,476,491,495,470
2025-10-13T12:36:38,-0.5532,0.9626,-0.6392,465,463,458,455,455,452,450,451,462,459,465,465,454,458,451,445,462,464,472,471,468,467,455,450,435,453,443,447,442,440,429,421,458,461,459,458,453,448,449,440,516,507,511,516,507,509,510,503,458,483,488,488,483,482,479,510,499,682,847,465,473,458,435,437
2025-10-13T12:36:40,-0.5532,0.0626,-0.6392,465,463,457,455,453,454,450,454,454,462,460,467,456,456,450,444,464,463,467,472,472,463,454,447,440,441,444,450,440,443,428,426,460,467,456,460,464,452,447,433,517,514,512,521,519,526,515,539,445,465,486,501,496,476,479,510,480,477,483,485,475,481,450,437
2025-10-13T12:36:41,-1.0032,0.5126,-1.0892,466,463,457,457,453,452,449,452,455,462,463,469,458,456,450,446,462,464,468,473,469,466,452,451,442,447,447,453,447,436,430,425,458,464,456,459,458,449,445,441,504,526,520,519,515,504,511,529,473,465,506,511,506,490,479,510,470,518,487,489,453,475,468,417
2025-10-13T12:36:42,-0.4032,0.2126,-0.1892,467,466,460,455,455,453,451,453,458,463,465,464,456,458,448,448,469,467,472,473,469,467,455,455,443,452,446,451,443,438,433,424,458,463,460,467,455,450,451,442,502,521,519,524,521,526,523,508,424,464,500,504,474,475,479,510,494,480,873,483,495,481,466,473
2025-10-13T12:36:43,-0.5532,0.3626,-0.7892,465,462,458,455,451,453,452,452,460,462,461,463,453,455,446,443,464,466,470,471,469,463,457,445,442,445,441,449,442,438,431,420,462,460,466,469,457,449,449,435,496,496,518,510,519,518,518,505,465,464,462,484,477,465,479,510,491,493,497,500,496,474,459,473
2025-10-13T12:36:44,-0.7032,1.2626,-0.3392,466,464,458,457,453,451,449,453,461,462,466,462,452,455,451,444,468,464,467,474,466,463,455,445,441,450,442,444,445,439,434,423,460,466,465,459,457,447,451,445,483,511,513,513,513,509,491,512,463,463,493,495,502,516,507,510,488,494,475,479,475,715,522,473
2025-10-13T12:36:46,-0.7032,-0.0874,-1.6892,466,465,457,456,454,453,450,452,459,461,461,463,457,451,450,447,471,467,469,472,469,465,459,450,444,448,446,449,444,436,433,424,450,465,460,463,457,453,448,439,502,506,522,510,516,507,518,496,466,466,496,496,485,473,496,510,477,505,465,517,492,493,522,475
2025-10-13T12:36:47,-0.1032,-0.0874,-1.2392,468,466,458,457,456,454,449,453,467,465,461,465,454,455,452,450,469,470,469,471,470,467,457,448,446,448,446,442,441,433,430,422,464,465,460,460,455,449,445,443,531,523,524,514,512,502,510,532,443,469,482,501,478,490,478,510,505,479,488,498,497,482,516,454
2025-10-13T12:36:48,0.3468,-0.2374,-0.0392,466,464,458,455,453,451,451,452,460,461,466,461,455,455,451,443,467,465,473,477,466,463,453,450,440,440,446,451,442,441,434,421,457,467,469,459,454,446,443,440,492,513,518,514,513,508,511,510,457,482,496,502,476,467,484,510,479,498,519,480,469,501,442,434
2025-10-13T12:36:50,-0.5532,-0.2374,-0.6392,464,462,458,453,454,451,451,451,461,461,460,458,452,455,448,446,463,463,467,475,469,464,450,447,441,446,446,448,443,437,429,423,462,463,459,458,465,456,444,430,530,515,524,523,511,524,515,495,468,462,497,488,507,501,484,510,492,488,467,496,667,497,467,441
2025-10-13T12:36:51,-0.4032,0.6626,-0.9392,465,463,459,456,455,451,451,452,458,459,461,463,451,461,447,445,462,467,470,471,471,465,454,451,441,451,445,447,449,443,434,426,458,464,463,459,458,450,446,436,521,511,518,517,517,528,514,519,472,459,491,502,484,500,456,510,505,474,480,485,475,449,476,477
2025-10-13T12:36:52,-0.4032,-0.5374,-0.4892,468,466,459,456,456,453,451,453,457,464,464,461,457,457,451,448,469,465,468,471,471,463,455,451,444,446,450,451,445,437,432,423,465,470,461,468,456,445,444,437,505,520,527,526,519,514,521,491,476,479,487,474,506,493,475,510,481,482,465,739,484,464,460,462
2025-10-13T12:36:53,-0.5532,0.5126,-1.5392,466,463,457,455,454,451,451,451,458,465,466,462,452,457,449,445,463,469,473,477,469,462,457,446,439,454,442,449,445,438,431,418,461,461,461,462,460,455,444,437,523,514,510,523,523,511,521,502,478,477,497,493,506,476,517,510,497,476,504,501,486,478,459,473
2025-10-13T12:36:55,-0.8532,-0.5374,-0.4892,465,462,457,455,455,453,451,451,457,458,464,458,449,454,448,447,459,466,469,478,467,462,457,444,446,440,451,445,447,436,431,422,460,471,460,465,455,454,446,439,516,514,512,512,520,516,513,514,477,472,489,492,484,482,517,510,469,498,483,528,479,478,498,468
2025-10-13T12:36:56,-0.4032,0.5126,-0.7892,465,463,458,455,454,452,451,453,461,464,462,465,445,450,451,442,463,464,467,471,468,463,457,450,445,440,449,448,447,442,432,420,461,463,466,464,456,455,447,433,511,501,516,498,516,535,508,519,451,462,483,487,471,482,517,510,493,490,701,487,468,464,498,468
2025-10-13T12:36:57,-0.8532,0.0626,-0.3392,468,464,459,455,456,454,452,453,458,470,468,462,457,453,455,447,466,471,470,472,471,463,459,450,443,444,446,449,444,445,430,423,456,464,457,470,456,457,446,437,514,518,512,519,517,500,502,531,460,477,499,497,487,470,506,510,477,489,493,455,487,497,430,467
2025-10-13T12:36:58,-0.7032,0.2126,-1.3892,466,464,459,456,453,453,451,452,460,461,461,459,456,456,449,449,462,468,465,469,471,462,457,449,441,447,450,454,439,436,436,419,462,451,462,466,459,449,448,435,512,525,510,533,511,525,506,542,456,473,489,499,492,510,506,510,505,477,478,460,473,454,454,459
2025-10-13T12:36:59,0.7968,-0.8374,-0.4892,465,463,457,455,454,452,451,452,464,461,461,462,458,457,448,445,463,469,471,470,470,462,458,449,446,443,446,449,447,436,432,426,452,466,457,467,458,449,442,428,515,511,523,511,509,512,509,490,440,465,478,485,512,480,453,510,498,529,480,482,488,478,475,459
2025-10-13T12:37:01,-0.1032,0.3626,-0.0392,467,465,457,455,455,451,451,451,458,459,468,459,453,456,448,448,468,465,469,471,464,463,453,450,438,444,451,448,446,439,429,431,454,466,468,460,460,451,453,436,521,522,518,521,514,526,506,480,451,483,480,472,496,475,453,510,497,508,483,492,473,472,517,459
2025-10-13T12:37:02,0.6468,0.5126,-1.0892,468,465,458,458,456,454,451,453,461,470,465,465,458,453,454,446,474,469,470,478,473,466,456,453,445,449,447,447,450,439,439,424,461,463,457,469,457,458,443,440,510,529,516,520,521,517,505,517,458,482,481,513,496,503,466,510,507,487,495,488,478,464,428,419
2025-10-13T12:37:03,-0.5532,0.3626,-0.9392,466,464,458,456,455,452,453,450,458,460,462,455,456,457,451,446,462,465,468,469,471,463,458,451,438,445,447,452,441,437,429,422,461,461,455,461,458,454,446,440,491,516,504,527,513,516,520,523,447,487,495,503,479,497,493,510,471,470,506,506,474,456,474,419
2025-10-13T12:37:04,-0.7032,0.2126,-0.3392,467,463,458,455,453,452,451,453,459,464,462,461,453,454,447,447,461,466,468,474,469,463,459,448,445,443,447,449,444,442,437,419,465,468,464,459,454,452,449,437,507,497,513,522,516,515,523,505,461,482,494,501,467,493,493,510,503,480,468,467,474,477,436,492
2025-10-13T12:37:05,0.0468,0.3626,0.1108,465,463,459,455,453,452,452,452,461,463,462,460,455,459,450,448,462,463,473,474,471,464,456,449,440,444,445,445,441,442,430,421,459,455,468,466,451,450,446,442,491,667,504,523,526,515,503,497,447,476,489,477,520,464,493,510,475,497,480,481,500,511,463,494
2025-10-13T12:37:07,-0.7032,0.3626,0.2608,466,465,458,457,457,452,453,453,465,465,463,464,452,458,451,448,463,467,470,475,472,467,455,449,445,452,446,454,966,442,438,431,462,473,465,459,460,450,450,439,499,510,512,522,505,513,508,510,470,476,482,490,497,513,474,510,493,483,494,484,477,482,464,447
2025-10-13T12:37:08,-1.1532,0.5126,-0.1892,465,464,457,455,454,451,450,451,462,459,462,462,453,457,452,446,462,467,471,474,464,465,455,442,441,449,444,449,441,438,428,422,461,459,455,457,455,453,447,436,506,501,506,521,509,512,496,500,444,470,487,507,476,485,440,510,494,478,476,471,476,515,469,465
2025-10-13T12:37:09,-0.5532,-0.0874,-0.6392,467,462,458,456,455,451,449,451,461,463,459,466,452,451,446,441,460,465,470,474,472,457,453,447,443,443,441,444,442,438,433,426,462,471,460,462,462,446,439,434,512,511,515,514,520,522,516,510,440,479,485,464,478,449,463,510,491,507,458,496,472,494,471,465
2025-10-13T12:37:11,-0.5532,-0.8374,-0.1892,467,465,459,455,453,453,451,452,456,462,464,462,451,453,1131,441,464,471,471,476,467,464,452,449,443,451,447,447,444,437,432,424,459,463,460,465,457,447,443,438,507,507,525,516,504,514,517,502,456,453,491,484,486,490,432,510,513,510,465,504,488,501,498,465
2025-10-13T12:37:12,-0.8532,-0.6874,-1.3892,467,467,459,457,454,456,451,454,459,464,468,463,455,457,452,452,465,470,475,471,467,465,460,447,441,456,446,452,445,445,430,427,465,462,463,459,459,449,446,440,493,506,505,522,510,512,506,513,443,469,475,493,486,498,500,510,477,500,472,462,475,486,528,491
2025-10-13T12:37:13,-0.8532,0.0626,-0.1892,467,465,457,455,454,452,450,452,456,457,464,465,454,460,449,442,464,465,465,477,469,458,451,447,450,447,446,452,441,436,432,421,464,458,461,472,455,451,448,439,508,496,514,528,520,515,511,518,468,454,481,473,488,507,473,510,484,476,490,461,444,494,467,491
2025-10-13T12:37:14,-0.1032,-0.6874,-0.0392,464,464,457,455,454,451,450,453,455,462,461,462,454,459,451,446,467,469,469,468,468,469,455,442,444,449,441,448,449,440,432,425,456,460,457,468,456,451,446,436,513,527,508,516,515,515,517,530,453,493,479,502,478,485,468,510,483,479,468,491,473,462,479,477
2025-10-13T12:37:15,-1.1532,-0.6874,-0.1892,467,464,458,456,456,453,453,452,464,468,465,464,453,456,445,443,464,462,472,470,463,463,457,446,440,444,442,449,443,437,430,422,454,460,461,463,459,445,443,442,495,505,514,519,500,512,518,517,459,474,480,486,512,489,468,510,720,487,697,467,481,492,465,477
2025-10-13T12:37:17,-0.1032,0.5126,-0.9392,468,466,459,458,456,454,454,453,464,461,461,465,457,460,454,444,469,465,469,471,470,458,455,448,437,448,445,447,446,439,433,429,464,464,466,464,466,452,441,441,503,508,521,518,515,529,511,506,491,467,499,486,508,487,417,510,491,516,464,475,499,470,524,402
2025-10-13T12:37:18,-0.5532,-0.0874,-0.6392,465,463,457,454,452,451,451,452,452,458,464,465,453,455,450,443,471,465,470,475,469,462,449,446,439,451,439,451,442,443,430,426,457,463,462,461,460,454,447,441,514,508,520,510,512,523,510,518,438,450,489,483,473,498,513,510,486,475,474,504,474,484,460,402
2025-10-13T12:37:19,-0.4032,-0.5374,-0.1892,465,463,458,455,455,452,451,453,460,464,462,465,452,459,446,444,472,468,464,475,468,468,453,444,441,448,452,446,441,439,435,428,461,459,462,461,453,448,446,427,511,518,512,526,518,520,513,522,441,494,483,491,480,489,513,510,505,492,465,468,477,472,463,402
2025-10-13T12:37:20,-1.3032,-0.0874,-0.6392,467,463,459,455,455,453,451,451,461,462,462,462,452,452,451,449,464,468,470,471,474,461,455,444,443,447,449,448,447,437,435,428,465,462,461,466,456,451,455,439,496,507,503,513,514,510,509,505,455,483,490,506,487,496,451,510,483,497,483,489,466,470,478,489
